house_type,state_name,mp_name,constituency_name,allocated_amount,dataset_source
,MADHYA PRADESH,MP 073 MADHYA P,GUNA,135164115.18,Allocated_Limit
,GUJARAT,MP 074 GUJARAT,ANAND,67761345.7,Allocated_Limit
,WEST BENGAL,MP 075 WEST BEN,ASANSOL,108652639.84,Allocated_Limit
,KERALA,MP 076 KERALA,PONNANI,77475828.13,Allocated_Limit
,PUNJAB,MP 077 PUNJAB,ANANDPUR SAHIB,139745710.77,Allocated_Limit
,HARYANA,MP 078 HARYANA,ROHTAK,85062222.31,Allocated_Limit
,ODISHA,MP 079 ODISHA,JAGATSINGHPUR,61785619.98,Allocated_Limit
,ASSAM,MP 080 ASSAM,DIPHU,59595300.92,Allocated_Limit
,ANDHRA PRADESH,MP 081 ANDHRA P,RAJAM,97364176.1,Allocated_Limit
,TELANGANA,MP 082 TELANGAN,PEDDAPALLI,61528993.02,Allocated_Limit
,MAHARASHTRA,MP 083 MAHARASH,PALGHAR,100150318.83,Allocated_Limit
,TAMIL NADU,MP 084 TAMIL NA,PERAMBALUR,137738746.03,Allocated_Limit
,KARNATAKA,MP 085 KARNATAK,BIDAR,77928060.62,Allocated_Limit
,UTTAR PRADESH,MP 086 UTTAR PR,FAIZABAD,56318491.1,Allocated_Limit
,BIHAR,MP 087 BIHAR,MADHEPURA,149704512.78,Allocated_Limit
,RAJASTHAN,MP 088 RAJASTHA,BARMER,91143155.24,Allocated_Limit
,MADHYA PRADESH,MP 089 MADHYA P,SATNA,40909129.46,Allocated_Limit
,GUJARAT,MP 090 GUJARAT,PORBANDAR,35653965.05,Allocated_Limit
,WEST BENGAL,MP 091 WEST BEN,JANGIPUR,43157895.64,Allocated_Limit
,KERALA,MP 092 KERALA,MAVELIKKARA,105293525.0,Allocated_Limit
,PUNJAB,MP 093 PUNJAB,BATHINDA,125049523.72,Allocated_Limit
,HARYANA,MP 094 HARYANA,GURGAON,80659196.02,Allocated_Limit
,ODISHA,MP 095 ODISHA,BERHAMPUR,37623324.74,Allocated_Limit
,ASSAM,MP 096 ASSAM,GAUHATI,75794314.38,Allocated_Limit
,ANDHRA PRADESH,MP 097 ANDHRA P,KAKINADA,149534565.63,Allocated_Limit
,TELANGANA,MP 098 TELANGAN,NIZAMABAD,93493721.41,Allocated_Limit
,MAHARASHTRA,MP 099 MAHARASH,CHANDRAPUR,146529405.31,Allocated_Limit
,TAMIL NADU,MP 100 TAMIL NA,ARANI,133293564.27,Allocated_Limit
,KARNATAKA,MP 101 KARNATAK,SHIMOGA,31377722.63,Allocated_Limit
,UTTAR PRADESH,MP 102 UTTAR PR,KANPUR,116486618.32,Allocated_Limit
,BIHAR,MP 103 BIHAR,SUPAUL,111805244.28,Allocated_Limit
,RAJASTHAN,MP 104 RAJASTHA,KARAULI,94436439.65,Allocated_Limit
,MADHYA PRADESH,MP 105 MADHYA P,GUNA,62019022.79,Allocated_Limit
,GUJARAT,MP 106 GUJARAT,JAMNAGAR,106915415.83,Allocated_Limit
,WEST BENGAL,MP 107 WEST BEN,ULUBERIA,43386260.83,Allocated_Limit
,KERALA,MP 108 KERALA,KASARAGOD,82171830.08,Allocated_Limit
,PUNJAB,MP 109 PUNJAB,FARIDKOT,84446844.76,Allocated_Limit
,HARYANA,MP 110 HARYANA,SONIPAT,144457911.3,Allocated_Limit
,ODISHA,MP 111 ODISHA,NABARANGPUR,135102352.85,Allocated_Limit
,ASSAM,MP 112 ASSAM,JORHAT,61606686.09,Allocated_Limit
,ANDHRA PRADESH,MP 113 ANDHRA P,ARAKU,90070333.57,Allocated_Limit
,TELANGANA,MP 114 TELANGAN,NALGONDA,51438225.66,Allocated_Limit
,MAHARASHTRA,MP 115 MAHARASH,PUNE,139515340.72,Allocated_Limit
,TAMIL NADU,MP 116 TAMIL NA,NILGIRIS,134462228.38,Allocated_Limit
,KARNATAKA,MP 117 KARNATAK,DHARWAD,65813374.97,Allocated_Limit
,UTTAR PRADESH,MP 118 UTTAR PR,PILIBHIT,106673939.38,Allocated_Limit
,BIHAR,MP 119 BIHAR,KATIHAR,103076425.37,Allocated_Limit
,RAJASTHAN,MP 120 RAJASTHA,CHITTORGARH,48340712.23,Allocated_Limit
,MADHYA PRADESH,MP 121 MADHYA P,SATNA,121501296.01,Allocated_Limit
,GUJARAT,MP 122 GUJARAT,ANAND,94725483.61,Allocated_Limit
,WEST BENGAL,MP 123 WEST BEN,GHATAL,123435177.44,Allocated_Limit
,KERALA,MP 124 KERALA,CHALAKUDY,93642440.66,Allocated_Limit
,PUNJAB,MP 125 PUNJAB,FATEHGARH SAHIB,30068627.54,Allocated_Limit
,HARYANA,MP 126 HARYANA,KARNAL,68898726.84,Allocated_Limit
,ODISHA,MP 127 ODISHA,JHARSUGUDA,32337209.09,Allocated_Limit
,ASSAM,MP 128 ASSAM,KARIMGANJ,141491833.95,Allocated_Limit
,ANDHRA PRADESH,MP 129 ANDHRA P,TIRUPATI,135446625.34,Allocated_Limit
,TELANGANA,MP 130 TELANGAN,NAGARKURNOOL,129799863.52,Allocated_Limit
,MAHARASHTRA,MP 131 MAHARASH,DHULE,66901695.05,Allocated_Limit
,TAMIL NADU,MP 132 TAMIL NA,VIRUDHUNAGAR,36951019.98,Allocated_Limit
,KARNATAKA,MP 133 KARNATAK,BANGALORE NORTH,135361151.9,Allocated_Limit
,UTTAR PRADESH,MP 134 UTTAR PR,ALLAHABAD,143633933.44,Allocated_Limit
,BIHAR,MP 135 BIHAR,SHEOHAR,40278414.25,Allocated_Limit
,RAJASTHAN,MP 136 RAJASTHA,RAJSAMAND,88318855.6,Allocated_Limit
,MADHYA PRADESH,MP 137 MADHYA P,GUNA,38305502.22,Allocated_Limit
,GUJARAT,MP 138 GUJARAT,PORBANDAR,121272259.83,Allocated_Limit
,WEST BENGAL,MP 139 WEST BEN,PURULIA,121900131.52,Allocated_Limit
,KERALA,MP 140 KERALA,WAYANAD,45406975.74,Allocated_Limit
,PUNJAB,MP 141 PUNJAB,FEROZEPUR,87033885.37,Allocated_Limit
,HARYANA,MP 142 HARYANA,BHIWANI-MAHENDRAGARH,95976431.22,Allocated_Limit
,ODISHA,MP 143 ODISHA,BOLANGIR,61806795.47,Allocated_Limit
,ASSAM,MP 144 ASSAM,KOKRAJHAR,134691964.93,Allocated_Limit
,ANDHRA PRADESH,MP 145 ANDHRA P,NELLORE,80776552.82,Allocated_Limit
,TELANGANA,MP 146 TELANGAN,MALKAJGIRI,55415784.65,Allocated_Limit
,MAHARASHTRA,MP 147 MAHARASH,RAIGARH,94715530.65,Allocated_Limit
,TAMIL NADU,MP 148 TAMIL NA,NAMAKKAL,117591728.29,Allocated_Limit
,KARNATAKA,MP 149 KARNATAK,KOPPAL,54138127.61,Allocated_Limit
,UTTAR PRADESH,MP 150 UTTAR PR,ETAWAH,67405954.96,Allocated_Limit
,BIHAR,MP 151 BIHAR,HAJIPUR,149417922.8,Allocated_Limit
,RAJASTHAN,MP 152 RAJASTHA,DUNGARPUR,107985366.92,Allocated_Limit
,MADHYA PRADESH,MP 153 MADHYA P,SATNA,82572010.07,Allocated_Limit
,GUJARAT,MP 154 GUJARAT,JAMNAGAR,92109100.92,Allocated_Limit
,WEST BENGAL,MP 155 WEST BEN,COOCH BEHAR,44520503.5,Allocated_Limit
,KERALA,MP 156 KERALA,PONNANI,56963680.44,Allocated_Limit
,PUNJAB,MP 157 PUNJAB,GURDASPUR,70570267.46,Allocated_Limit
,HARYANA,MP 158 HARYANA,ROHTAK,100597046.21,Allocated_Limit
,ODISHA,MP 159 ODISHA,RAYAGADA,57613767.91,Allocated_Limit
,ASSAM,MP 160 ASSAM,LAKHIMPUR,56426086.13,Allocated_Limit
,ANDHRA PRADESH,MP 161 ANDHRA P,GUNTUR,38519170.32,Allocated_Limit
,TELANGANA,MP 162 TELANGAN,MEDAK,105732354.87,Allocated_Limit
,MAHARASHTRA,MP 163 MAHARASH,DINDORI,57473014.06,Allocated_Limit
,TAMIL NADU,MP 164 TAMIL NA,VILLUPURAM,138650401.56,Allocated_Limit
,KARNATAKA,MP 165 KARNATAK,CHIKBALLAPUR,133156248.03,Allocated_Limit
,UTTAR PRADESH,MP 166 UTTAR PR,KANNAUJ,38502881.99,Allocated_Limit
,BIHAR,MP 167 BIHAR,PURNIA,58560556.12,Allocated_Limit
,RAJASTHAN,MP 168 RAJASTHA,UDAIPUR,110277333.4,Allocated_Limit
,MADHYA PRADESH,MP 169 MADHYA P,GUNA,55708416.88,Allocated_Limit
,GUJARAT,MP 170 GUJARAT,ANAND,45877421.85,Allocated_Limit
,WEST BENGAL,MP 171 WEST BEN,MALDAHA UTTAR,142261708.87,Allocated_Limit
,KERALA,MP 172 KERALA,MAVELIKKARA,98525171.2,Allocated_Limit
,PUNJAB,MP 173 PUNJAB,HOSHIARPUR,86720523.16,Allocated_Limit
,HARYANA,MP 174 HARYANA,GURGAON,124154330.91,Allocated_Limit
,ODISHA,MP 175 ODISHA,KANDHAMAL,126899639.73,Allocated_Limit
,ASSAM,MP 176 ASSAM,MANGALDOI,52849189.72,Allocated_Limit
,ANDHRA PRADESH,MP 177 ANDHRA P,AMARAVATI,41631697.71,Allocated_Limit
,TELANGANA,MP 178 TELANGAN,MAHBUBNAGAR,81726141.89,Allocated_Limit
,MAHARASHTRA,MP 179 MAHARASH,RATNAGIRI,80829434.76,Allocated_Limit
,TAMIL NADU,MP 180 TAMIL NA,MAYILADUTHURAI,86042960.16,Allocated_Limit
,KARNATAKA,MP 181 KARNATAK,UDUPI-CHIKMAGALUR,117489101.94,Allocated_Limit
,UTTAR PRADESH,MP 182 UTTAR PR,PHULPUR,110803745.68,Allocated_Limit
,BIHAR,MP 183 BIHAR,DARBHANGA,148099825.36,Allocated_Limit
,RAJASTHAN,MP 184 RAJASTHA,JALORE,41810144.54,Allocated_Limit
,MADHYA PRADESH,MP 185 MADHYA P,SATNA,78314553.85,Allocated_Limit
,GUJARAT,MP 186 GUJARAT,PORBANDAR,70716312.65,Allocated_Limit
,WEST BENGAL,MP 187 WEST BEN,BARDHAMAN PURBA,133400704.36,Allocated_Limit
,KERALA,MP 188 KERALA,KASARAGOD,59838760.07,Allocated_Limit
,PUNJAB,MP 189 PUNJAB,JALANDHAR,52825069.01,Allocated_Limit
,HARYANA,MP 190 HARYANA,SONIPAT,83833625.74,Allocated_Limit
,ODISHA,MP 191 ODISHA,DEOGARH,80625796.78,Allocated_Limit
,ASSAM,MP 192 ASSAM,NAGAON,63425417.36,Allocated_Limit
,ANDHRA PRADESH,MP 193 ANDHRA P,RAJAHMUNDRY,59976773.75,Allocated_Limit
,TELANGANA,MP 194 TELANGAN,MAHABUBABAD,140791871.91,Allocated_Limit
,MAHARASHTRA,MP 195 MAHARASH,GADCHIROLI,83175689.41,Allocated_Limit
,TAMIL NADU,MP 196 TAMIL NA,VELLORE,133361892.57,Allocated_Limit
,KARNATAKA,MP 197 KARNATAK,HASSAN,96039037.49,Allocated_Limit
,UTTAR PRADESH,MP 198 UTTAR PR,ALIGARH,36070599.54,Allocated_Limit
,BIHAR,MP 199 BIHAR,PALIGANJ,149913896.21,Allocated_Limit
,RAJASTHAN,MP 200 RAJASTHA,BARMER,130323310.21,Allocated_Limit
,MADHYA PRADESH,MP 201 MADHYA P,GUNA,146279550.87,Allocated_Limit
,GUJARAT,MP 202 GUJARAT,JAMNAGAR,141164037.96,Allocated_Limit
,WEST BENGAL,MP 203 WEST BEN,KOLKATA DAKSHIN,131843488.13,Allocated_Limit
,KERALA,MP 204 KERALA,CHALAKUDY,49957333.27,Allocated_Limit
,PUNJAB,MP 205 PUNJAB,KHADOOR SAHIB,88276935.05,Allocated_Limit
,HARYANA,MP 206 HARYANA,KARNAL,55649675.9,Allocated_Limit
,ODISHA,MP 207 ODISHA,SUNDERGARH,78124835.11,Allocated_Limit
,ASSAM,MP 208 ASSAM,NOWGONG,37036248.0,Allocated_Limit
,ANDHRA PRADESH,MP 209 ANDHRA P,NANDYAL,75476774.28,Allocated_Limit
,TELANGANA,MP 210 TELANGAN,KHAMMAM,148237061.25,Allocated_Limit
,MAHARASHTRA,MP 211 MAHARASH,SATARA,61824366.98,Allocated_Limit
,TAMIL NADU,MP 212 TAMIL NA,MADURAI,124088472.23,Allocated_Limit
,KARNATAKA,MP 213 KARNATAK,BELGAUM,84601004.08,Allocated_Limit
,UTTAR PRADESH,MP 214 UTTAR PR,ETAH,80760898.32,Allocated_Limit
,BIHAR,MP 215 BIHAR,BEGUSARAI,144878116.9,Allocated_Limit
,RAJASTHAN,MP 216 RAJASTHA,KARAULI,149450722.74,Allocated_Limit
,MADHYA PRADESH,MP 217 MADHYA P,SATNA,96692198.81,Allocated_Limit
,GUJARAT,MP 218 GUJARAT,ANAND,116208993.04,Allocated_Limit
,WEST BENGAL,MP 219 WEST BEN,ASANSOL,48575619.03,Allocated_Limit
,KERALA,MP 220 KERALA,WAYANAD,65604939.06,Allocated_Limit
,PUNJAB,MP 221 PUNJAB,LUDHIANA,146245123.8,Allocated_Limit
,HARYANA,MP 222 HARYANA,BHIWANI-MAHENDRAGARH,99501634.9,Allocated_Limit
,ODISHA,MP 223 ODISHA,KEONJHAR,95063424.16,Allocated_Limit
,ASSAM,MP 224 ASSAM,SILCHAR,119757067.25,Allocated_Limit
,ANDHRA PRADESH,MP 225 ANDHRA P,CHITTOOR,36859832.75,Allocated_Limit
,TELANGANA,MP 226 TELANGAN,KARIMNAGAR,100101311.34,Allocated_Limit
,MAHARASHTRA,MP 227 MAHARASH,HINGOLI,90342045.95,Allocated_Limit
,TAMIL NADU,MP 228 TAMIL NA,TIRUVANNAMALAI,132326387.05,Allocated_Limit
,KARNATAKA,MP 229 KARNATAK,MYSORE,48891927.35,Allocated_Limit
,UTTAR PRADESH,MP 230 UTTAR PR,JHANSI,145293468.39,Allocated_Limit
,BIHAR,MP 231 BIHAR,MUZAFFARPUR,39613375.83,Allocated_Limit
,RAJASTHAN,MP 232 RAJASTHA,CHITTORGARH,52298995.32,Allocated_Limit
,MADHYA PRADESH,MP 233 MADHYA P,GUNA,101404212.77,Allocated_Limit
,GUJARAT,MP 234 GUJARAT,PORBANDAR,111025506.43,Allocated_Limit
,WEST BENGAL,MP 235 WEST BEN,JANGIPUR,58224467.4,Allocated_Limit
,KERALA,MP 236 KERALA,PONNANI,44386393.67,Allocated_Limit
,PUNJAB,MP 237 PUNJAB,PATHANKOT,136834477.7,Allocated_Limit
,HARYANA,MP 238 HARYANA,ROHTAK,59545841.73,Allocated_Limit
,ODISHA,MP 239 ODISHA,GAJAPATI,101342298.42,Allocated_Limit
,ASSAM,MP 240 ASSAM,TEZPUR,104325781.24,Allocated_Limit
,ANDHRA PRADESH,MP 241 ANDHRA P,VIZIANAGARAM,80306989.84,Allocated_Limit
,TELANGANA,MP 242 TELANGAN,HYDERABAD,100040674.71,Allocated_Limit
,MAHARASHTRA,MP 243 MAHARASH,SHIRDI,92733925.86,Allocated_Limit
,TAMIL NADU,MP 244 TAMIL NA,KRISHNAGIRI,142164750.93,Allocated_Limit
,KARNATAKA,MP 245 KARNATAK,CHITRADURGA,54511103.93,Allocated_Limit
,UTTAR PRADESH,MP 246 UTTAR PR,MUZAFFARNAGAR,115943016.09,Allocated_Limit
,BIHAR,MP 247 BIHAR,ARRAH,58642314.31,Allocated_Limit
,RAJASTHAN,MP 248 RAJASTHA,RAJSAMAND,77494301.61,Allocated_Limit
,MADHYA PRADESH,MP 249 MADHYA P,SATNA,110602826.76,Allocated_Limit
,GUJARAT,MP 250 GUJARAT,JAMNAGAR,65999649.58,Allocated_Limit
,WEST BENGAL,MP 251 WEST BEN,ULUBERIA,67941263.55,Allocated_Limit
,KERALA,MP 252 KERALA,MAVELIKKARA,120223739.09,Allocated_Limit
,PUNJAB,MP 253 PUNJAB,PATIALA,38705173.74,Allocated_Limit
,HARYANA,MP 254 HARYANA,GURGAON,84994262.71,Allocated_Limit
,ODISHA,MP 255 ODISHA,BARGARH,149814532.9,Allocated_Limit
,ASSAM,MP 256 ASSAM,BARPETA,149531573.74,Allocated_Limit
,ANDHRA PRADESH,MP 257 ANDHRA P,RAJAM,38791286.53,Allocated_Limit
,TELANGANA,MP 258 TELANGAN,CHEVELLA,55578517.47,Allocated_Limit
,MAHARASHTRA,MP 259 MAHARASH,JALGAON,61824049.77,Allocated_Limit
,TAMIL NADU,MP 260 TAMIL NA,TIRUVALLUR,141991125.36,Allocated_Limit
,KARNATAKA,MP 261 KARNATAK,BAGALKOT,135703700.84,Allocated_Limit
,UTTAR PRADESH,MP 262 UTTAR PR,AKBARPUR,135512429.1,Allocated_Limit
,BIHAR,MP 263 BIHAR,MADHUBANI,74343250.65,Allocated_Limit
,RAJASTHAN,MP 264 RAJASTHA,DUNGARPUR,48929619.88,Allocated_Limit
,MADHYA PRADESH,MP 265 MADHYA P,GUNA,130049394.56,Allocated_Limit
,GUJARAT,MP 266 GUJARAT,ANAND,114424791.01,Allocated_Limit
,WEST BENGAL,MP 267 WEST BEN,GHATAL,103401331.89,Allocated_Limit
,KERALA,MP 268 KERALA,KASARAGOD,148467967.64,Allocated_Limit
,PUNJAB,MP 269 PUNJAB,RUPNAGAR,108477158.13,Allocated_Limit
,HARYANA,MP 270 HARYANA,SONIPAT,30938772.86,Allocated_Limit
,ODISHA,MP 271 ODISHA,MAYURBHANJ,128052496.21,Allocated_Limit
,ASSAM,MP 272 ASSAM,DARRANG-UDALGURI,65925450.26,Allocated_Limit
,ANDHRA PRADESH,MP 273 ANDHRA P,KAKINADA,109606645.8,Allocated_Limit
,TELANGANA,MP 274 TELANGAN,BHONGIR,142671600.47,Allocated_Limit
,MAHARASHTRA,MP 275 MAHARASH,SHIRUR,46114933.73,Allocated_Limit
,TAMIL NADU,MP 276 TAMIL NA,KARUR,43851440.45,Allocated_Limit
,KARNATAKA,MP 277 KARNATAK,KODAGU,42844317.33,Allocated_Limit
,UTTAR PRADESH,MP 278 UTTAR PR,DEORIA,96386836.91,Allocated_Limit
,BIHAR,MP 279 BIHAR,UJIARPUR,62681785.48,Allocated_Limit
,RAJASTHAN,MP 280 RAJASTHA,UDAIPUR,102579579.24,Allocated_Limit
,MADHYA PRADESH,MP 281 MADHYA P,SATNA,116113462.46,Allocated_Limit
,GUJARAT,MP 282 GUJARAT,PORBANDAR,54431677.48,Allocated_Limit
,WEST BENGAL,MP 283 WEST BEN,PURULIA,106108555.07,Allocated_Limit
,KERALA,MP 284 KERALA,CHALAKUDY,61678068.2,Allocated_Limit
,PUNJAB,MP 285 PUNJAB,SANGRUR,88623822.26,Allocated_Limit
,HARYANA,MP 286 HARYANA,KARNAL,138640378.93,Allocated_Limit
,ODISHA,MP 287 ODISHA,JAJPUR,131532445.6,Allocated_Limit
,ASSAM,MP 288 ASSAM,DHUBRI,41075816.13,Allocated_Limit
,ANDHRA PRADESH,MP 289 ANDHRA P,ARAKU,80829092.71,Allocated_Limit
,TELANGANA,MP 290 TELANGAN,ADILABAD,63201626.88,Allocated_Limit
,MAHARASHTRA,MP 291 MAHARASH,JALNA,30425482.69,Allocated_Limit
,TAMIL NADU,MP 292 TAMIL NA,TIRUPPUR,122534306.76,Allocated_Limit
,KARNATAKA,MP 293 KARNATAK,BIDAR,106453605.28,Allocated_Limit
,UTTAR PRADESH,MP 294 UTTAR PR,JAUNPUR,61434631.49,Allocated_Limit
,BIHAR,MP 295 BIHAR,KHAGARIA,118947709.0,Allocated_Limit
,RAJASTHAN,MP 296 RAJASTHA,JALORE,96201650.54,Allocated_Limit
,MADHYA PRADESH,MP 297 MADHYA P,GUNA,81322430.28,Allocated_Limit
,GUJARAT,MP 298 GUJARAT,JAMNAGAR,31160363.95,Allocated_Limit
,WEST BENGAL,MP 299 WEST BEN,COOCH BEHAR,39029263.21,Allocated_Limit
,KERALA,MP 300 KERALA,WAYANAD,135972767.2,Allocated_Limit
,PUNJAB,MP 301 PUNJAB,AMRITSAR,138471428.59,Allocated_Limit
,HARYANA,MP 302 HARYANA,BHIWANI-MAHENDRAGARH,95470834.7,Allocated_Limit
,ODISHA,MP 303 ODISHA,BHUBANESWAR,130151402.39,Allocated_Limit
,ASSAM,MP 304 ASSAM,DIBRUGARH,99901147.98,Allocated_Limit
,ANDHRA PRADESH,MP 305 ANDHRA P,TIRUPATI,47771254.27,Allocated_Limit
,TELANGANA,MP 306 TELANGAN,ZAHIRABAD,45293462.31,Allocated_Limit
,MAHARASHTRA,MP 307 MAHARASH,SOLAPUR,66991001.99,Allocated_Limit
,TAMIL NADU,MP 308 TAMIL NA,KANCHEEPURAM,137877778.65,Allocated_Limit
,KARNATAKA,MP 309 KARNATAK,SHIMOGA,125534676.59,Allocated_Limit
,UTTAR PRADESH,MP 310 UTTAR PR,MORADABAD,133284309.84,Allocated_Limit
,BIHAR,MP 311 BIHAR,SITAMARHI,137870956.38,Allocated_Limit
,RAJASTHAN,MP 312 RAJASTHA,BARMER,55209184.6,Allocated_Limit
,MADHYA PRADESH,MP 313 MADHYA P,SATNA,59943568.71,Allocated_Limit
,GUJARAT,MP 314 GUJARAT,ANAND,42335234.6,Allocated_Limit
,WEST BENGAL,MP 315 WEST BEN,MALDAHA UTTAR,123613949.02,Allocated_Limit
,KERALA,MP 316 KERALA,PONNANI,136096164.17,Allocated_Limit
,PUNJAB,MP 317 PUNJAB,ANANDPUR SAHIB,78765286.78,Allocated_Limit
