house_type,state_name,mp_name,constituency_name,ida_name,city_name,block_name,village_name,location_type,work_status,dataset_source,recommended_date,allocated_amount,available_limit,expenditure_amt,actual_end_date,letter_no,is_completed,is_ongoing,is_unsanctioned,internal_key,project_id,expenditure_ratio,cost_variance_pct,project_age_days,days_to_complete,is_overdue,is_stalled,district_median_amount,district_mean_amount,district_std_amount,district_project_count,amount_vs_district_pct,state_median_amount,state_mean_amount,state_std_amount,amount_vs_state_pct,mp_median_amount,mp_project_count,constituency_project_count,risk_flags,financial_risk_score,delay_risk_score,expenditure_risk_score,allocated_amount_log,ml_anomaly_score,peer_deviation_score,duplicate_risk_score,overall_risk_score,risk_band,model_version,rules_version,scored_at
LOK,PUNJAB,MP FARIDKOT 2,FARIDKOT,FARIDK DISTRICT AUTHORITY,,FARID BLOCK,VILLAGE 244,Rural,COMPLETED,Completed,2025-10-21,1951635.45,320166.22,1976797.1,2026-05-27,LTR/PUN/11505/2024,True,False,False,LOK|PUNJAB|FARIDKOT|MP FARIDKOT 2|2025-10-21|1951635,16,1.0128925973342,1.289259733419996,316,218,False,False,2399166.0549999997,4050003.6377272727,7379503.114835676,22,-18.653590236795836,2514815.98,3011552.2203773586,3690623.8031883994,-22.394502598953583,1885262.9249999998,8,22,"[{'rule_id': 'R001', 'rule_name': 'Expenditure Exceeds Allocation', 'detection_type': 'RULE', 'severity': 'CRITICAL', 'score_contribution': 80, 'justification': 'Expenditure > allocated amount indicates either data entry error, unauthorized spending, or budget revision without proper sanctioning.', 'evidence': {'expenditure_amt': 1976797.1, 'allocated_amount': 1951635.45, 'overrun_amount': 25161.65, 'expenditure_ratio': 1.013, 'overrun_pct': 1.29}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",80.0,0.0,80.0,14.484178783732395,11.07,2.36,0.0,37.34,MODERATE,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,ANDHRA PRADESH,MP TIRUPATI 2,TIRUPATI,TIRUPA DISTRICT AUTHORITY,,TIRUP BLOCK,VILLAGE 632,Rural,COMPLETED,Completed,2024-12-15,3735348.31,25330.08,3710085.81,2025-09-15,LTR/AND/98395/2024,True,False,False,LOK|ANDHRA PRADESH|TIRUPATI|MP TIRUPATI 2|2024-12-15|3735348,17,0.9932369091438222,-0.6763090856177747,626,274,False,False,2577715.94,2410876.2415384618,1690226.3225463228,13,44.90922960270014,2474184.48,3145127.080660066,5037652.253546427,50.97291007176635,3735348.31,7,13,"[{'rule_id': 'R009', 'rule_name': 'Potential Duplicate Work', 'detection_type': 'RULE', 'severity': 'HIGH', 'score_contribution': 50, 'justification': 'Similar project detected in same constituency with close location and amount. NOTE: Similarity based on location+amount only (no work descriptions available). Requires human verification.', 'evidence': {'similar_project_id': 1369, 'similarity_score': 1.0, 'match_factors': {'same_state': True, 'same_constituency': True, 'same_mp': True, 'same_ida': True, 'same_location_type': True, 'amount_within_15pct': True, 'dates_within_180_days': False, 'note': 'Similarity based on location+amount only (no work descriptions available in public API)'}, 'note': 'Similarity detection based on location+amount only. Work descriptions not available in public API. Human verification required.'}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",0.0,0.0,0.0,15.133351895603052,4.2,5.54,100.0,15.97,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,KARNATAKA,MP CHAMARAJ 1,CHAMARAJANAGAR,CHAMAR DISTRICT AUTHORITY,,CHAMA BLOCK,VILLAGE 498,Rural,COMPLETED,Completed,2026-04-03,1896920.91,425007.42,1790611.59,2026-08-07,LTR/KAR/49506/2024,True,False,False,LOK|KARNATAKA|CHAMARAJANAGAR|MP CHAMARAJ 1|2026-04-03|1896921,18,0.9439569043497972,-5.604309565020285,152,126,False,False,3120810.995,2800483.78625,1413304.070065008,16,-39.21705245722515,2743644.885,3180741.670120482,4817282.744761165,-30.861281634120807,3120810.995,10,16,"[{'rule_id': 'R007', 'rule_name': 'Unusually High MP Project Count', 'detection_type': 'RULE', 'severity': 'MODERATE', 'score_contribution': 20, 'justification': 'MP has significantly more projects than peers (> mean + 2*std). May indicate fragmentation of large works into smaller ones.', 'evidence': {'mp_name': 'MP CHAMARAJ 1', 'mp_project_count': 10, 'all_mps_mean_count': 4.2, 'all_mps_std_count': 2.6, 'threshold': 9.4, 'deviations_above_mean': 2.21}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",0.0,0.0,0.0,14.455743083072486,17.92,4.2,0.0,2.21,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,TAMIL NADU,MP KARUR 1,KARUR,KARUR DISTRICT AUTHORITY,,KARUR BLOCK,VILLAGE 597,Rural,COMPLETED,Completed,2025-12-03,15239054.22,3304813.81,14110526.65,2026-08-22,LTR/TAM/11498/2024,True,False,False,LOK|TAMIL NADU|KARUR|MP KARUR 1|2025-12-03|15239054,19,0.9259450387335126,-7.405496126648732,273,262,False,False,3377022.9,4042419.657,4147129.34242232,10,351.25705899121976,2863597.58,3269220.8874918567,3850237.578020535,432.16465632018026,3924587.76,3,10,"[{'rule_id': 'R005', 'rule_name': 'Abnormally High Allocation vs District', 'detection_type': 'RULE', 'severity': 'HIGH', 'score_contribution': 50, 'justification': 'Allocated amount is 3x+ above the district median. May indicate inflated project cost or data entry issue.', 'evidence': {'allocated_amount': 15239054.22, 'district_median_amount': 3377022.9, 'ratio': 4.51, 'pct_above_median': 351.3, 'ida_name': 'KARUR DISTRICT AUTHORITY'}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}, {'rule_id': 'R006', 'rule_name': 'High Allocation vs State Peers', 'detection_type': 'RULE', 'severity': 'MODERATE', 'score_contribution': 30, 'justification': 'Allocated amount is 2.5x+ above the state median. Warrants comparison with similar projects in the state.', 'evidence': {'allocated_amount': 15239054.22, 'state_median_amount': 2863597.58, 'ratio': 5.32, 'pct_above_median': 432.2, 'state_name': 'TAMIL NADU'}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",50.0,0.0,0.0,16.539372112862782,60.06,44.87,0.0,22.99,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,UTTAR PRADESH,MP GONDA 3,GONDA,GONDA DISTRICT AUTHORITY,GONDA CITY,,,Urban,COMPLETED,Completed,2026-04-21,648980.7,68786.39,600326.11,2026-08-06,LTR/UTT/50266/2024,True,False,False,LOK|UTTAR PRADESH|GONDA|MP GONDA 3|2026-04-21|648981,20,0.9250292188966482,-7.497078110335171,134,107,False,False,1597721.66,1808383.102,1720298.2489663733,5,-59.38086612658178,2476120.885,3046122.1302469135,4188613.2164513455,-73.79042744110613,1670070.48,3,5,[],0.0,0.0,0.0,13.383159798062175,23.38,7.62,0.0,3.1,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,KARNATAKA,MP BIDAR 2,BIDAR,BIDAR DISTRICT AUTHORITY,,BIDAR BLOCK,VILLAGE 517,Rural,COMPLETED,Completed,2024-07-15,1465152.21,69325.29,1354237.06,2026-01-15,LTR/KAR/39360/2024,True,False,False,LOK|KARNATAKA|BIDAR|MP BIDAR 2|2024-07-15|1465152,21,0.92429786527094,-7.5702134729059924,779,549,False,False,2181544.86,2772010.702666667,1502051.1835914913,15,-32.838776920681795,2743644.885,3180741.670120482,4817282.744761165,-46.59832917844978,1915146.78,7,15,[],0.0,0.0,0.0,14.197470375169955,5.69,4.49,0.0,1.02,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,HARYANA,MP HISAR 1,HISAR,HISAR DISTRICT AUTHORITY,,HISAR BLOCK,VILLAGE 441,Rural,COMPLETED,Completed,2024-11-12,4227709.57,406072.62,3736292.61,2025-07-19,LTR/HAR/39480/2024,True,False,False,LOK|HARYANA|HISAR|MP HISAR 1|2024-11-12|4227710,22,0.8837628385149455,-11.623716148505451,659,249,False,False,2185297.515,2807331.5264705885,3172616.822730151,34,93.46150997659466,2258938.6,2696786.108126888,3266749.413671894,87.15469158834154,2553112.665,14,34,"[{'rule_id': 'R007', 'rule_name': 'Unusually High MP Project Count', 'detection_type': 'RULE', 'severity': 'MODERATE', 'score_contribution': 20, 'justification': 'MP has significantly more projects than peers (> mean + 2*std). May indicate fragmentation of large works into smaller ones.', 'evidence': {'mp_name': 'MP HISAR 1', 'mp_project_count': 14, 'all_mps_mean_count': 4.2, 'all_mps_std_count': 2.6, 'threshold': 9.4, 'deviations_above_mean': 3.74}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}, {'rule_id': 'R010', 'rule_name': 'High Constituency Project Concentration', 'detection_type': 'RULE', 'severity': 'LOW', 'score_contribution': 15, 'justification': 'Constituency has 2x+ projects compared to the constituency average. May indicate inequitable distribution or data pattern requiring review.', 'evidence': {'constituency_name': 'HISAR', 'constituency_project_count': 34, 'all_constituencies_mean_count': 11.6, 'ratio_to_mean': 2.92}, 'disclaimer': 'This flag is a RISK INDICATOR. It highlights patterns that warrant human attention. It does NOT constitute a finding of fraud or misconduct.'}]",0.0,0.0,0.0,15.257171168094546,28.23,10.64,0.0,3.89,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,BIHAR,MP SUPAUL 1,SUPAUL,SUPAUL DISTRICT AUTHORITY,SUPAU CITY,,,Urban,COMPLETED,Completed,2025-02-21,807483.96,107692.32,799683.67,2026-08-29,LTR/BIH/66208/2024,True,False,False,LOK|BIHAR|SUPAUL|MP SUPAUL 1|2025-02-21|807484,23,0.9903400062584525,-0.9659993741547412,558,554,False,False,807483.96,1673443.15,1763135.8278338218,5,0.0,2937949.88,3258337.472611684,4287860.567586842,-72.51539362543517,807483.96,1,5,[],0.0,0.0,0.0,13.601679708518496,28.4,3.39,0.0,3.18,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,ODISHA,MP GAJAPATI 2,GAJAPATI,GAJAPA DISTRICT AUTHORITY,,GAJAP BLOCK,VILLAGE 384,Rural,COMPLETED,Completed,2023-10-13,4988668.73,1441709.35,4314039.69,2024-12-01,LTR/ODI/31860/2024,True,False,False,LOK|ODISHA|GAJAPATI|MP GAJAPATI 2|2023-10-13|4988669,24,0.864767721307484,-13.523227869251603,1055,415,False,False,3699811.0,3351419.0727272723,1749190.3408279705,11,34.83577215160451,2633314.865,3349250.5269407895,5336475.314123972,89.44444495816113,4344239.865,4,11,[],0.0,0.0,0.0,15.422679845012675,15.49,6.63,0.0,2.21,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,RAJASTHAN,MP GANGANAG 2,GANGANAGAR,GANGAN DISTRICT AUTHORITY,,GANGA BLOCK,VILLAGE 416,Rural,COMPLETED,Completed,2025-08-09,2466764.27,487940.22,2138953.2,2025-11-09,LTR/RAJ/52726/2024,True,False,False,LOK|RAJASTHAN|GANGANAGAR|MP GANGANAG 2|2025-08-09|2466764,25,0.8671088786282769,-13.289112137172307,389,92,False,False,3762209.7,3232869.31,1277613.2705766654,15,-34.43310004755982,2826776.4850000003,3186668.4361034483,3962379.1840553363,-12.735786395223258,3151155.19,6,15,[],0.0,0.0,0.0,14.71841824303166,3.58,3.01,0.0,0.66,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
LOK,KERALA,MP MUVATTUP 1,MUVATTUPUZHA,MUVATT DISTRICT AUTHORITY,,MUVAT BLOCK,VILLAGE 81,Rural,COMPLETED,Completed,2025-11-12,2768958.54,500844.1,2358623.9,2026-07-28,LTR/KER/10060/2024,True,False,False,LOK|KERALA|MUVATTUPUZHA|MP MUVATTUP 1|2025-11-12|2768959,26,0.85180903430934,-14.819096569066003,294,258,False,False,2718477.66,2175459.5023076925,1203095.5038375305,13,1.8569540130044655,2616637.24,3351155.517359736,5228045.147718425,5.8212616434366655,1916109.82,7,13,[],0.0,0.0,0.0,14.833982190273142,4.38,0.4,0.0,0.48,LOW,1.0.0,1.0.0,2026-09-02 07:11:14.880440
